issue_id,issue_type,priority,description_length,num_comments,time_to_resolve_hours,time_in_progress_hours,lines_added,lines_deleted,lines_updated_est,total_files_changed,num_commits
CALCITE-6632,Bug,Major,854,4,140.8036111111111,,59,10,10,5,1
CALCITE-6631,Bug,Major,420,3,43.03916666666667,,22,0,0,2,1
CALCITE-6623,Bug,Major,371,2,113.83472222222223,,133,59,59,2,1
CALCITE-6620,Bug,Minor,1075,7,216.83694444444444,,121,76,76,7,1
CALCITE-6618,Sub-task,Major,905,8,195.10611111111112,,64,0,0,2,1
CALCITE-6617,Bug,Blocker,2499,19,252.2411111111111,,362,141,141,16,1
CALCITE-6616,Bug,Blocker,3065,6,253.6925,0.3049797222222222,958,357,357,6,1
CALCITE-6615,Bug,Minor,299,2,903.7102777777778,,5,0,0,1,1
CALCITE-6614,Bug,Major,1141,2,904.4022222222222,,5,3,3,2,1
CALCITE-6613,Improvement,Minor,1136,3,432.9580555555556,,2,2,2,1,1
CALCITE-6612,New Feature,Minor,412,2,242.09333333333333,3.1228075,60,5,5,4,1
CALCITE-6610,Task,Minor,356,2,248.79972222222221,248.79813777777778,17,0,0,1,1
CALCITE-6609,Task,Trivial,397,4,344.9377777777778,,7,44,7,22,1
CALCITE-6608,Improvement,Minor,583,4,356.3697222222222,,100,3,3,4,1
CALCITE-6607,Bug,Minor,647,2,503.09166666666664,,16,8,8,1,1
CALCITE-6605,Improvement,Minor,2057,2,704.2275,,115,3,3,2,1
CALCITE-6604,New Feature,Minor,1545,4,558.4780555555556,,92,2,2,3,1
CALCITE-6603,Improvement,Minor,223,2,445.44416666666666,,41,1,1,2,1
CALCITE-6600,Bug,Major,1515,2,515.5022222222223,7.871337499999999,67,1,1,3,1
CALCITE-6599,Bug,Major,106,8,524.2325,,136,33,33,2,1
CALCITE-6598,Bug,Major,913,2,527.2419444444445,,255,60,60,14,1
CALCITE-6596,Bug,Major,429,2,530.1686111111111,100.02895555555556,1,1,1,1,1
CALCITE-6595,Bug,Major,349,1,23.33111111111111,,82,5,5,5,1
CALCITE-6594,Bug,Minor,220,1,5187.989166666666,24.66918666666667,33,0,0,2,1
CALCITE-6593,Bug,Blocker,814,20,562.2372222222223,75.89825444444445,354,150,150,5,1
CALCITE-6592,Bug,Major,466,3,714.0163888888889,,71,0,0,1,1
CALCITE-6588,Improvement,Major,272,4,3686.678888888889,,209,70,70,12,1
CALCITE-6587,Improvement,Major,184,8,721.8475,75.39394194444444,240,107,107,17,2
CALCITE-6586,Improvement,Major,459,5,1383.8272222222222,,231,90,90,13,1
CALCITE-6585,Improvement,Major,466,7,742.4047222222222,299.38185444444446,2927,2139,2139,46,1
CALCITE-6584,Bug,Minor,186,4,748.1752777777778,,64,9,9,5,2
CALCITE-6582,Improvement,Major,23,10,769.2519444444445,702.416423888889,958,357,357,6,1
CALCITE-6581,Bug,Major,169,3,787.2544444444444,,154,17,17,3,1
CALCITE-6580,Improvement,Major,572,14,837.7713888888889,,1199,1730,1199,13,1
CALCITE-6576,Bug,Minor,507,7,880.4161111111111,,17,2,2,2,1
CALCITE-6572,Bug,Minor,489,12,891.1052777777778,,4,1,1,1,1
CALCITE-6569,Bug,Major,490,2,901.2877777777778,,38,4,4,2,1
CALCITE-6566,Improvement,Major,1027,16,2227.6691666666666,,243,42,42,12,1
CALCITE-6565,Improvement,Major,289,2,994.1588888888889,,25,3,3,3,1
CALCITE-6563,Bug,Critical,900,4,1039.5291666666667,,67,3,3,2,1
CALCITE-6560,Improvement,Major,556,15,1080.0938888888888,,882,74,74,24,1
CALCITE-6559,Bug,Minor,6295,4,1084.996111111111,83.87066,169,8,8,5,1
CALCITE-6557,Bug,Critical,1995,5,1167.7130555555555,11.654066111111112,61,1,1,4,1
CALCITE-6555,Improvement,Major,8400,2,1178.2811111111112,48.941271944444445,119,30,30,3,1
CALCITE-6552,Improvement,Major,993,3,1206.0666666666666,147.9344677777778,4276,3707,3707,606,1
CALCITE-6550,Improvement,Minor,1115,12,1227.9455555555555,,76,62,62,3,1
CALCITE-6549,New Feature,Major,115,6,1239.6638888888888,,47,0,0,6,1
CALCITE-6547,Bug,Minor,247,2,1241.9625,,6,5,5,3,1
CALCITE-6546,Improvement,Major,510,2,1244.3005555555555,3.209450833333333,9,1,1,2,1
CALCITE-6543,Improvement,Trivial,708,3,1309.7633333333333,,19,9,9,3,1
CALCITE-6540,Bug,Minor,424,2,1395.8380555555555,,33,1,1,3,1
CALCITE-6538,Improvement,Major,636,1,70.8425,,431,94,94,15,1
CALCITE-6534,Improvement,Minor,596,5,1456.1722222222222,,312,118,118,2,1
CALCITE-6533,Bug,Minor,200,3,1469.1847222222223,,17,1,1,2,1
CALCITE-6531,Task,Minor,667,4,1541.0127777777777,5.784885555555555,1,1,1,1,1
CALCITE-6527,New Feature,Major,570,9,1567.7647222222222,,134,27,27,4,1
CALCITE-6526,Task,Trivial,231,2,1573.9719444444445,,1,32,1,1,1
CALCITE-6522,Bug,Major,956,2,1686.6941666666667,,58,19,19,4,1
CALCITE-6519,Improvement,Major,348,2,1724.7233333333334,37.93328777777778,294,25,25,9,1
CALCITE-6518,Bug,Minor,3019,4,1733.0141666666666,,122,4,4,6,1
CALCITE-6515,Improvement,Minor,789,2,1800.1919444444445,,0,15,0,1,1
CALCITE-6514,Improvement,Major,297,2,1820.5608333333332,,4,15,4,2,1
CALCITE-6513,Bug,Major,2175,7,1836.7272222222223,,100,6,6,6,1
CALCITE-6511,Improvement,Minor,334,2,1857.8705555555555,1.1791825,25,30,25,4,1
CALCITE-6507,Bug,Major,646,2,1886.8080555555555,3.0178594444444444,104,0,0,5,1
CALCITE-6506,Bug,Major,820,3,1900.5177777777778,47.40804055555555,244,5,5,3,1
CALCITE-6503,Bug,Critical,2565,6,4359.181111111111,23.0089175,27,0,0,2,1
CALCITE-6502,Bug,Minor,530,2,2008.7625,,11,23,11,2,1
CALCITE-6501,Bug,Minor,2312,5,2028.9788888888888,,149,0,0,2,1
CALCITE-6498,Bug,Major,2991,2,2048.2225,,304,11,11,5,1
CALCITE-6497,Improvement,Trivial,335,2,2049.6930555555555,1.5228616666666666,17,34,17,1,1
CALCITE-6496,Improvement,Minor,295,2,2069.285,,49,53,49,1,1
CALCITE-6495,Improvement,Minor,826,2,2076.9866666666667,1.2938655555555556,3,3,3,1,1
CALCITE-6493,Improvement,Minor,205,5,2095.3094444444446,,29,0,0,2,1
CALCITE-6490,Improvement,Minor,477,6,2114.3927777777776,267.25668277777777,10,0,0,1,1
CALCITE-6488,Task,Minor,445,2,2149.9594444444447,24.035583055555556,6,13,6,4,1
CALCITE-6487,Bug,Trivial,381,4,2160.38,,1,1,1,1,1
CALCITE-6485,Improvement,Major,379,4,2171.317777777778,90.67261305555556,129,20,20,4,1
CALCITE-6484,Bug,Major,4223,2,2193.3816666666667,266.19189305555557,5,4,4,2,1
CALCITE-6483,Improvement,Minor,187,5,2212.093611111111,,4,4,4,2,1
CALCITE-6482,Improvement,Minor,155,7,2218.4725,,44,2,2,4,1
CALCITE-6481,Improvement,Major,1264,3,2227.1869444444446,604.1266113888889,704,0,0,7,1
CALCITE-6480,Wish,Minor,356,16,2228.211388888889,,90,0,0,4,1
CALCITE-6478,Improvement,Major,1544,6,2228.2491666666665,14.679085833333334,79,17,17,7,1
CALCITE-6475,Bug,Major,631,7,2229.4166666666665,25.680927500000003,54,1,1,2,1
CALCITE-6474,Bug,Major,617,3,2238.3325,25.54130361111111,30,1,1,3,1
CALCITE-6473,Bug,Major,215,3,2241.7658333333334,,30,1,1,5,1
CALCITE-6472,Improvement,Minor,137,7,2257.825,,326,0,0,6,1
CALCITE-6471,Improvement,Minor,1305,6,2264.697777777778,333.16120361111115,3,3,3,1,1
CALCITE-6470,Improvement,Major,660,2,2264.869722222222,,15,24,15,2,1
CALCITE-6468,Bug,Major,3134,2,2333.3888888888887,63.735084444444446,112,5,5,3,1
CALCITE-6466,Improvement,Minor,924,3,2353.2966666666666,,102,1,1,3,1
CALCITE-6464,Bug,Minor,464,9,2367.6819444444445,,86,36,36,6,1
CALCITE-6462,Bug,Major,619,2,2397.898611111111,,81,46,46,4,2
CALCITE-6460,Bug,Major,1636,3,2411.4455555555555,46.62284833333333,12,1,1,2,1
CALCITE-6454,Improvement,Major,382,6,2573.8419444444444,143.05228916666667,474,8,8,4,1
CALCITE-6453,Improvement,Major,1148,8,2579.029722222222,,16,2,2,2,1
CALCITE-6450,Bug,Major,772,6,2675.7225,,169,37,37,9,1
CALCITE-6449,Sub-task,Minor,222,2,2714.551111111111,58.720662777777775,3299,113,113,22,1
CALCITE-6446,Improvement,Minor,268,2,2795.8941666666665,,314,0,0,11,1
CALCITE-6445,Improvement,Minor,248,2,2797.217777777778,,188,30,30,7,1
CALCITE-6444,Improvement,Major,584,11,2832.73,187.5165286111111,399,267,267,8,1
CALCITE-6442,Bug,Minor,1707,7,2902.633611111111,,11,2,2,2,1
CALCITE-6441,Improvement,Major,145,2,2927.0133333333333,,76,0,0,4,1
CALCITE-6436,Improvement,Major,558,7,3031.2425,,95,2,2,4,1
CALCITE-6435,Bug,Major,2215,6,3032.608333333333,,87,44,44,8,1
CALCITE-6434,Improvement,Major,705,4,3083.568888888889,,156,144,144,6,1
CALCITE-6433,Bug,Major,738,6,3086.864722222222,169.98772305555553,114,17,17,4,1
CALCITE-6432,Improvement,Minor,3653,1,7796.888333333333,,78,36,36,3,1
CALCITE-6431,Improvement,Major,178,3,6927.3469444444445,282.72300777777775,99,2,2,3,1
CALCITE-6430,Improvement,Major,936,2,3178.073611111111,,45,9,9,5,1
CALCITE-6429,Sub-task,Major,12225,2,3246.6458333333335,63.80359138888889,88,28,28,4,1
