issue_id,issue_type,priority,description_length,num_comments,time_to_resolve_hours,time_in_progress_hours,lines_added,lines_deleted,lines_updated_est,total_files_changed,num_commits
IVY-1014,Improvement,Major,155,1,0.22527777777777777,,10,1,1,2,1
IVY-1013,Improvement,Major,88,1,0.04388888888888889,,6,0,0,2,1
IVY-1012,Bug,Major,188,1,1.2694444444444444,,178,21,21,10,2
IVY-1010,Bug,Major,651,1,16848.43388888889,,1,0,0,1,1
IVY-1009,Bug,Major,396,2,400.30694444444447,,2,0,0,2,1
IVY-1007,Bug,Major,235,2,413.755,,3,3,3,2,1
IVY-1006,Bug,Major,249,2,313.16083333333336,,18,7,7,8,2
IVY-1005,Improvement,Major,162,4,13186.049166666666,,144,15,15,6,2
IVY-999,Bug,Major,7801,8,132.10722222222222,,182,0,0,10,1
IVY-996,Improvement,Major,698,5,397.31083333333333,,20,12,12,3,1
IVY-995,Bug,Major,4355,1,7.060555555555555,,4,8,4,1,1
IVY-994,Improvement,Major,648,1,25.10333333333333,,56,23,23,5,1
IVY-992,Bug,Major,442,3,910.1361111111111,,12,1,1,3,1
IVY-989,Improvement,Minor,676,2,1277.8408333333334,,75,3,3,8,1
IVY-987,Bug,Major,2261,13,2261.762222222222,,6,1,1,2,1
IVY-982,Bug,Major,9856,13,84769.58972222223,,99,1,1,5,2
IVY-980,Bug,Major,1822,3,21.886666666666667,,40,0,0,5,1
IVY-977,Improvement,Minor,1532,11,32.066944444444445,,16,1,1,4,2
IVY-976,Improvement,Major,411,4,10.218333333333334,,4,1,1,2,1
IVY-975,Bug,Major,1491,4,13.429444444444444,,985,8,8,4,1
IVY-974,Bug,Major,2365,5,2456.4275,,142,51,51,7,1
IVY-970,Bug,Major,430,8,156.89138888888888,,116,7,7,5,2
IVY-968,Bug,Major,1300,5,9156.376666666667,,40,2,2,3,1
IVY-965,Improvement,Major,1633,2,315.80305555555555,,11,1,1,2,1
IVY-963,Improvement,Major,131,2,5830.111944444445,,6,0,0,2,1
IVY-962,Bug,Major,718,15,1132.4611111111112,,1,1,1,1,1
IVY-961,Bug,Major,139,4,106.77666666666667,,13,1,1,3,1
IVY-960,Bug,Major,379,3,6.475555555555555,,3,0,0,2,1
IVY-959,Bug,Major,1417,4,18.619444444444444,,17,1,1,2,1
IVY-956,Bug,Major,1468,15,9368.145,,499,10,10,16,5
IVY-953,Improvement,Major,372,3,11613.040833333333,,22,7,7,4,2
IVY-952,Bug,Major,652,2,9.417777777777777,,69,13,13,3,1
IVY-951,Bug,Major,781,3,10.342222222222222,,12,19,12,3,1
IVY-950,Bug,Major,367,2,14.587777777777777,,6,5,5,3,2
IVY-949,Bug,Major,240,1,35.14944444444444,,12,2,2,2,1
IVY-948,Bug,Blocker,589,3,4.2219444444444445,,15,3,3,2,1
IVY-943,Improvement,Minor,526,5,139.01416666666665,,72,0,0,5,1
IVY-941,Bug,Minor,199,2,11.313888888888888,,4,0,0,3,1
IVY-940,Bug,Major,1543,2,23.6675,,7,5,5,2,1
IVY-936,Bug,Major,388,10,365.4502777777778,,7,0,0,2,1
IVY-935,Bug,Major,149,1,0.05305555555555556,,4,3,3,2,1
IVY-932,Bug,Major,173,1,0.2436111111111111,,54,1,1,4,1
IVY-931,Bug,Major,241,5,466.15305555555557,,50,4,4,4,1
IVY-930,Bug,Blocker,1355,1,0.6925,,15,8,8,2,1
IVY-929,Bug,Critical,1855,3,458.45444444444445,,28,7,7,4,1
IVY-928,Bug,Major,345,1,0.0275,,2,1,1,2,1
IVY-927,Bug,Major,242,1,0.08638888888888889,,9,7,7,2,1
IVY-926,Bug,Major,375,2,6.8975,,27,3,3,5,2
IVY-925,Bug,Minor,2676,5,32.21861111111111,,26,1,1,4,1
IVY-924,Bug,Major,96,9,29.0625,,46,1,1,4,2
IVY-923,Bug,Major,542,7,55.695277777777775,,120,33,33,5,2
IVY-921,Improvement,Major,496,1,38.102222222222224,,274,19,19,6,2
IVY-920,Bug,Major,150,1,98.19666666666667,,22,3,3,3,1
IVY-919,Bug,Major,284,1,9.570833333333333,,6,2,2,2,1
IVY-914,Bug,Major,416,7,9.430555555555555,,12,8,8,3,1
IVY-913,Bug,Major,273,3,8.848055555555556,,4,0,0,2,1
IVY-911,Bug,Major,1811,4,128.0822222222222,,83,23,23,12,2
IVY-910,Improvement,Minor,240,2,6.99,,86,23,23,12,2
IVY-909,Improvement,Minor,659,2,154.03083333333333,,79,21,21,10,1
IVY-907,Bug,Major,1033,19,36.045,,79,21,21,10,1
IVY-905,Bug,Major,194,0,169.29166666666666,,26,1,1,2,2
IVY-903,Improvement,Major,0,1,72.06111111111112,,28,10,10,3,1
IVY-901,Bug,Major,120,3,31.72888888888889,,7,0,0,2,1
IVY-898,Bug,Major,463,2,53.1675,,83,2,2,7,1
IVY-894,Bug,Major,704,2,3.486666666666667,,19,0,0,3,1
IVY-892,Improvement,Major,54,1,1.1022222222222222,,171,5,5,10,2
IVY-891,Improvement,Major,111,1,305.95916666666665,,2,1,1,2,1
IVY-888,Bug,Minor,1584,3,72.29722222222222,,61,0,0,4,1
IVY-887,Bug,Major,5189,2,9.733055555555556,,1,1,1,1,1
IVY-886,Bug,Major,325,1,0.03194444444444444,,178,32,32,8,3
IVY-885,Bug,Major,1500,6,296.0830555555556,,32,6,6,3,2
IVY-884,Bug,Major,944,3,4.668333333333333,,15,6,6,3,1
IVY-883,Sub-task,Minor,154,0,0.22194444444444444,,543,21,21,9,1
IVY-882,Bug,Major,335,1,222.8827777777778,,283,132,132,9,1
IVY-880,Bug,Major,428,2,78520.3325,,5,0,0,1,1
IVY-879,Improvement,Major,1129,3,4091.5797222222222,,25,17,17,2,1
IVY-878,New Feature,Major,319,2,36.69722222222222,,11,1,1,3,1
IVY-876,Sub-task,Minor,312,0,3.9875,,109,25,25,8,1
IVY-874,Bug,Major,9373,8,668.5783333333334,,285,28,28,14,1
IVY-873,Bug,Major,140,0,0.08694444444444445,,59,2,2,4,1
IVY-872,Improvement,Major,794,8,983.6166666666667,,46,26,26,6,3
IVY-871,Improvement,Major,700,11,7920.714722222222,,370,8,8,8,2
IVY-868,Bug,Major,140,7,79.72472222222223,,162,36,36,26,3
IVY-867,Bug,Major,711,1,1237.4986111111111,,31,17,17,4,1
IVY-864,Bug,Major,466,4,832.3161111111111,,69,27,27,3,1
IVY-863,Bug,Minor,587,2,8.49,,2786,1766,1766,95,1
IVY-862,Improvement,Major,382,1,0.6233333333333333,,87,45,45,4,1
IVY-861,Bug,Major,629,1,6.397777777777778,,153,56,56,7,1
IVY-860,Bug,Major,290,1,1.2963888888888888,,82,5,5,5,1
IVY-859,Improvement,Major,211,1,8.2275,,161,9,9,15,2
IVY-858,Improvement,Major,204,1,31.727222222222224,,60,0,0,5,1
IVY-857,New Feature,Major,723,3,7.116666666666666,,643,188,188,25,2
IVY-856,Improvement,Major,274,1,2.830277777777778,,52,10,10,4,2
IVY-854,Bug,Major,645,6,1750.981388888889,,30,16,16,1,1
IVY-852,Improvement,Minor,270,4,11.509166666666667,,93,48,48,3,1
